Image Name,STD sigma,SNR,Voxel Size (mm),Best Scale (mm)
15_PCB_003.nii.gz_noise_1.nii.gz,197.17042820880692,11.746934850110963,1.5,0.7267558
15_PCB_003.nii.gz_noise_2.nii.gz,415.0867566018986,5.8298661390141495,1.5,0.7518394
15_PCB_003.nii.gz_noise_3.nii.gz,593.5535037006973,4.303396850019704,1.5,0.9152174
15_PCB_003.nii.gz_noise_4.nii.gz,774.4936841267584,3.5093300929592433,1.5,0.9403009
15_PCB_003.nii.gz_noise_5.nii.gz,983.0627571107406,2.942968784045722,1.5,1.0531772
15_PCB_003.nii.gz_noise_6.nii.gz,1288.379447032396,2.3991058938383647,1.5,1.1155518
15_PCB_003.nii.gz_noise_7.nii.gz,1368.7628431615187,2.409087614275327,1.5,1.1287625
15_PCB_003.nii.gz_noise_8.nii.gz,1669.9600143374505,2.1000771505197346,1.5,1.153846
15_PCB_003.nii.gz_noise_9.nii.gz,1814.2608768224686,2.0528759190850745,1.5,1.1162207
15_PCB_003.nii.gz_noise_10.nii.gz,2102.5803641590373,1.8843507386799658,1.5,1.2033445
PCB_004.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.39576373
PCB_004.nii.gz_noise_1.nii.gz,195.0107565970588,13.344033045283505,0.8,0.40133783
PCB_004.nii.gz_noise_2.nii.gz,403.7588873082297,6.6747565348522695,0.8,0.43904128
PCB_004.nii.gz_noise_3.nii.gz,589.0675529488747,4.7884223551428455,0.8,0.46265337
PCB_004.nii.gz_noise_4.nii.gz,802.7311905192607,3.699352582343795,0.8,0.4738016
PCB_004.nii.gz_noise_5.nii.gz,995.4964155851249,3.154014889016334,0.8,0.4738016
PCB_004.nii.gz_noise_6.nii.gz,1177.213074598098,2.8199582036399455,0.8,0.5183947
PCB_004.nii.gz_noise_7.nii.gz,1399.1417676415947,2.5100629811664876,0.8,0.61315507
PCB_004.nii.gz_noise_8.nii.gz,1612.727719650446,2.3035629628157004,0.8,0.6375809
PCB_004.nii.gz_noise_9.nii.gz,1812.3501317815474,2.1694789821242693,0.8,0.6410257
PCB_004.nii.gz_noise_10.nii.gz,2044.87122764642,2.03301219645259,0.8,0.65774816
PCB_004.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.38350055
PCB_004.nii.gz_noise_1.nii.gz,195.0107565970588,13.344033045283505,0.8,0.3924192
PCB_004.nii.gz_noise_2.nii.gz,403.7588873082297,6.6747565348522695,0.8,0.4041224
PCB_004.nii.gz_noise_3.nii.gz,589.0675529488747,4.7884223551428455,0.8,0.42363435
PCB_004.nii.gz_noise_4.nii.gz,802.7311905192607,3.699352582343795,0.8,0.43255296
PCB_004.nii.gz_noise_5.nii.gz,995.4964155851249,3.154014889016334,0.8,0.51282054
PCB_004.nii.gz_noise_6.nii.gz,1177.213074598098,2.8199582036399455,0.8,0.5217392
PCB_004.nii.gz_noise_7.nii.gz,1399.1417676415947,2.5100629811664876,0.8,0.5663323
PCB_004.nii.gz_noise_8.nii.gz,1612.727719650446,2.3035629628157004,0.8,0.5663323
PCB_004.nii.gz_noise_9.nii.gz,1812.3501317815474,2.1694789821242693,0.8,0.6555184
PCB_004.nii.gz_noise_10.nii.gz,2044.87122764642,2.03301219645259,0.8,0.65997773
10_PCB_004.nii.gz_noise_0.nii.gz,0.0,inf,1.0,0.33444816
10_PCB_004.nii.gz_noise_1.nii.gz,204.21084334893135,12.734197223711732,1.0,0.34254515
10_PCB_004.nii.gz_noise_2.nii.gz,398.47102057112096,6.756429705959807,1.0,0.36789295
10_PCB_004.nii.gz_noise_3.nii.gz,597.7656219108966,4.71020548781776,1.0,0.58528423
10_PCB_004.nii.gz_noise_4.nii.gz,796.828913505747,3.7184183394728816,1.0,0.59364545
10_PCB_004.nii.gz_noise_5.nii.gz,987.4897964249461,3.173981989287965,1.0,0.6020067
10_PCB_004.nii.gz_noise_6.nii.gz,1163.4475292336404,2.849566827573394,1.0,0.64381266
10_PCB_004.nii.gz_noise_7.nii.gz,1406.1114534910198,2.497275857793328,1.0,0.7692307
10_PCB_004.nii.gz_noise_8.nii.gz,1642.2459560630937,2.259950570586781,1.0,0.78595316
10_PCB_004.nii.gz_noise_9.nii.gz,1784.4958198285442,2.2025255577310063,1.0,0.78595316
10_PCB_004.nii.gz_noise_10.nii.gz,2045.3028624385195,2.024251146245123,1.0,0.80267555
10_PCB_004.nii.gz_noise_0.nii.gz,0.0,inf,1.0,0.3567447
10_PCB_004.nii.gz_noise_1.nii.gz,204.21084334893135,12.734197223711732,1.0,0.3567447
10_PCB_004.nii.gz_noise_2.nii.gz,398.47102057112096,6.756429705959807,1.0,0.3846154
10_PCB_004.nii.gz_noise_3.nii.gz,597.7656219108966,4.71020548781776,1.0,0.5239688
10_PCB_004.nii.gz_noise_4.nii.gz,796.828913505747,3.7184183394728816,1.0,0.5518395
10_PCB_004.nii.gz_noise_5.nii.gz,987.4897964249461,3.173981989287965,1.0,0.6187291
10_PCB_004.nii.gz_noise_6.nii.gz,1163.4475292336404,2.849566827573394,1.0,0.65774804
10_PCB_004.nii.gz_noise_7.nii.gz,1406.1114534910198,2.497275857793328,1.0,0.6744705
10_PCB_004.nii.gz_noise_8.nii.gz,1642.2459560630937,2.259950570586781,1.0,0.78037906
10_PCB_004.nii.gz_noise_9.nii.gz,1784.4958198285442,2.2025255577310063,1.0,0.7834894
10_PCB_004.nii.gz_noise_10.nii.gz,2045.3028624385195,2.024251146245123,1.0,0.79710144
15_PCB_004.nii.gz_noise_0.nii.gz,0.0,inf,1.5,0.71100334
